,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,ipoDate__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,CCNC,Code Chain New Continent Limited Common Stock,"Code Chain New Continent Limited, through its subsidiaries, focuses on research, development, and application of Internet of Things (IoT) and electronic token digital door signs. It creates digital door signs which is the digitalization of a physical store by means of animation and other technical services; and offers electronic tokens, that are used for purchasing virtual real estate properties. The company also offers Wuge Manor, a game that combines Internet of Things and e-commerce based on code chain platform that provides players with access to vendors and business owners in approximately 100 cities in China. Code Chain New Continent Limited is based in Chengdu, China.",Wei Xu,Electronic Gaming & Multimedia,3.015,USD,0,https://images.financialmodelingprep.com/symbol/CCNC.png,27372,2015-07-24,0.0,0.215,31337,-8462862000000,-186876696000000,"[{'period': '2025', 'revenue': 0.0, 'unit': 'T', 'net_profit': -186.88}, {'period': '2022', 'revenue': 153.3, 'unit': 'K', 'net_profit': -424.65}, {'period': '2021', 'revenue': 25.03, 'unit': 'M', 'net_profit': -15.82}, {'period': '2020', 'revenue': 11.85, 'unit': 'M', 'net_profit': 2.51}]","[{'period': ""Q2 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -1.5}, {'period': ""Q1 '25"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -977.51}, {'period': ""Q4 '24"", 'revenue': -282.17, 'unit': 'K', 'net_profit': 278.6}, {'period': ""Q3 '24"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.74}, {'period': ""Q2 '24"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.59}, {'period': ""Q3 '23"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -102.48}]",-6.16,-6.16,670158753000000,829432000000,456041000000,2016608000000,41803000000,0,1214404000000,456041000000,-6844724000000,0.0,0.0,0.0,__nan__,__nan__,__nan__,0.0030091496842689154
1,CCNE,CNB Financial Corporation Common Stock,"CNB Financial Corporation operates as the bank holding company for CNB Bank that provides a range of banking products and services for individual, business, governmental, and institutional customers. The company accepts checking, savings, and time deposit accounts; and offers real estate, commercial, industrial, residential, and consumer loans, as well as various other specialized financial services. It also provides wealth and asset management services, including the administration of trusts and estates, retirement plans, and other employee benefit plans, as well as a range of wealth management services. In addition, the company invests in debt and equity securities; sells nonproprietary annuities and other insurance products; and small balance unsecured loans and secured loans primarily collateralized by automobiles and equipment. As of February 8, 2022, the company operated a private banking division; three loan production office; one drive-up office; and 45 full-service offices in Pennsylvania, Ohio, New York, and Virginia. CNB Financial Corporation was founded in 1865 and is headquartered in Clearfield, Pennsylvania.",Michael D. Peduzzi,Banks - Regional,28.37,USD,840750624,https://images.financialmodelingprep.com/symbol/CCNE.png,149774,1994-04-04,11.39,-0.19,146672,93371000,66131000,"[{'period': '2025', 'revenue': 404.86, 'unit': 'M', 'net_profit': 66.13}, {'period': '2024', 'revenue': 360.01, 'unit': 'M', 'net_profit': 54.58}, {'period': '2023', 'revenue': 322.01, 'unit': 'M', 'net_profit': 58.02}, {'period': '2022', 'revenue': 243.7, 'unit': 'M', 'net_profit': 63.19}]","[{'period': ""Q4 '25"", 'revenue': 112.47, 'unit': 'M', 'net_profit': 33.65}, {'period': ""Q3 '25"", 'revenue': 117.91, 'unit': 'M', 'net_profit': 7.04}, {'period': ""Q2 '25"", 'revenue': 93.53, 'unit': 'M', 'net_profit': 13.96}, {'period': ""Q1 '25"", 'revenue': 89.73, 'unit': 'M', 'net_profit': 11.48}, {'period': ""Q4 '24"", 'revenue': 92.67, 'unit': 'M', 'net_profit': 15.06}, {'period': ""Q3 '24"", 'revenue': 93.02, 'unit': 'M', 'net_profit': 13.95}]",2.51,2.51,8396434999,7089212000,662527000,7524308000,6426685000,6851518000,164000000,78197000,59791000,0.23460887501983393,0.21174530462666055,0.04583333333333328,"[0.19, 0.27]","['2026-02-27', '1994-08-31']",__nan__,0.8961312748679804
2,CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,"CNB Financial Corporation operates as the bank holding company for CNB Bank that provides a range of banking products and services for individual, business, governmental, and institutional customers. The company accepts checking, savings, and time deposit accounts; and offers real estate, commercial, industrial, residential, and consumer loans, as well as various other specialized financial services. It also provides wealth and asset management services, including the administration of trusts and estates, retirement plans, and other employee benefit plans, as well as a range of wealth management services. In addition, the company invests in debt and equity securities; sells nonproprietary annuities and other insurance products; and small balance unsecured loans and secured loans primarily collateralized by automobiles and equipment. As of February 8, 2022, the company operated a private banking division; three loan production office; one drive-up office; and 45 full-service offices in Pennsylvania, Ohio, New York, and Virginia. CNB Financial Corporation was founded in 1865 and is headquartered in Clearfield, Pennsylvania.",Michael D. Peduzzi,Banks - Regional,24.95,USD,739398240,https://images.financialmodelingprep.com/symbol/CCNEP.png,1333,2020-08-21,7.75,-0.27,3636,93371000,66131000,"[{'period': '2025', 'revenue': 404.86, 'unit': 'M', 'net_profit': 66.13}, {'period': '2024', 'revenue': 360.01, 'unit': 'M', 'net_profit': 54.58}, {'period': '2023', 'revenue': 322.01, 'unit': 'M', 'net_profit': 58.02}, {'period': '2022', 'revenue': 243.7, 'unit': 'M', 'net_profit': 63.19}]","[{'period': ""Q4 '25"", 'revenue': 112.47, 'unit': 'M', 'net_profit': 33.65}, {'period': ""Q3 '25"", 'revenue': 117.91, 'unit': 'M', 'net_profit': 7.04}, {'period': ""Q2 '25"", 'revenue': 93.53, 'unit': 'M', 'net_profit': 13.96}, {'period': ""Q1 '25"", 'revenue': 89.73, 'unit': 'M', 'net_profit': 11.48}, {'period': ""Q4 '24"", 'revenue': 92.67, 'unit': 'M', 'net_profit': 15.06}, {'period': ""Q3 '24"", 'revenue': 93.02, 'unit': 'M', 'net_profit': 13.95}]",2.51,2.51,8396434999,7089212000,662527000,7524308000,6426685000,6851518000,164000000,78197000,59791000,0.23460887501983393,0.21174530462666055,0.04583333333333328,"[0.44531, 0.475]","['2026-02-13', '2020-11-16']",__nan__,0.8961312748679804
3,CCOI,Cogent Communications Holdings Inc.,"Cogent Communications Holdings, Inc., through its subsidiaries, provides high-speed Internet access, private network, and data center colocation space services in North America, Europe, Asia, South America, Australia, and Africa. The company offers on-net Internet access and private network services to law firms, financial services firms, and advertising and marketing firms, as well as heath care providers, educational institutions and other professional services businesses, other Internet service providers, telephone companies, cable television companies, Web hosting companies, media service providers, mobile phone operators, content delivery network companies, and commercial content and application service providers. It also provides Internet access and private network services to customers that are not located in buildings directly connected to its network; and on-net services to customers located in buildings that are physically connected to its network. In addition, the company offers off-net services to corporate customers using other carriers' circuits to provide the last mile portion of the link from the customers' premises to the network. Further, it operates data centers that allow its customers to collocate their equipment and access the network. The company operates 54 data centers and provides facilities to 3,035 buildings and on-net services to 1,817 to multi-tenant office buildings. It serves primarily to small and medium-sized businesses, communications service providers, and other bandwidth-intensive organizations. Cogent Communications Holdings, Inc. was founded in 1999 and is headquartered in Washington, the District of Columbia.",David Schaeffer,Telecommunications Services,17.62,USD,882095964,https://images.financialmodelingprep.com/symbol/CCOI.png,1192547,2002-02-05,-4.64,-0.3,905134,186578000,-182174000,"[{'period': '2025', 'revenue': 975.77, 'unit': 'M', 'net_profit': -182.17}, {'period': '2024', 'revenue': 1040.0, 'unit': 'M', 'net_profit': -204.07}, {'period': '2023', 'revenue': 0.94092, 'unit': 'B', 'net_profit': 1.27}, {'period': '2022', 'revenue': 599.6, 'unit': 'M', 'net_profit': 5.15}]","[{'period': ""Q4 '25"", 'revenue': 240.52, 'unit': 'M', 'net_profit': -30.78}, {'period': ""Q3 '25"", 'revenue': 222.75, 'unit': 'M', 'net_profit': -41.54}, {'period': ""Q2 '25"", 'revenue': 246.25, 'unit': 'M', 'net_profit': -57.81}, {'period': ""Q1 '25"", 'revenue': 247.05, 'unit': 'M', 'net_profit': -52.04}, {'period': ""Q4 '24"", 'revenue': 252.29, 'unit': 'M', 'net_profit': -43.32}, {'period': ""Q3 '24"", 'revenue': 257.2, 'unit': 'M', 'net_profit': -63.11}]",-3.8,-3.8,3099784000,450581000,205112000,3163632000,177768000,113521000,220841000,205112000,-198148000,0.15395272317949607,0.10731401354410655,0.11214953271028047,"[0.02, 0.1]","['2026-03-06', '2012-08-20']",__nan__,1.0205975642173777
4,CCRC,China Customer Relations Centers Inc. Ordinary Shares,"China Customer Relations Centers, Inc. is a business process outsourcing service provider company, which focuses on the voice-based customer care services including inbound and outbound. The company is headquartered in Taian, Shandong and currently employs 11,101 full-time employees. The firm's customers are the provincial subsidiaries of various telecommunications carriers in the PRC. The company also provides outsourcing services to its clients whereby they can lease its employees to work at their offices. The firm operates its business through contractual arrangements between its subsidiary, wholly foreign owned enterprise (WFOE) and its variable interest entity, Shandong Taiying Technology Co., Ltd (Taiying). Its line of services includes Inbound Customer Care Service and Outbound Customer Care Service. The firm's inbound customer support service offers answering service hotlines in China, round the clock.",Gary Wang,Information Technology Services,6.5,USD,0,https://images.financialmodelingprep.com/symbol/CCRC.png,51535,2015-12-18,4.793510324483776,0.01999998,147697,32177280,24860799,"[{'period': '2020', 'revenue': 240.32, 'unit': 'M', 'net_profit': 24.86}, {'period': '2019', 'revenue': 173.41, 'unit': 'M', 'net_profit': 13.06}, {'period': '2018', 'revenue': 141.43, 'unit': 'M', 'net_profit': 16.09}, {'period': '2017', 'revenue': 88.97, 'unit': 'M', 'net_profit': 8.77}]","[{'period': ""Q2 '20"", 'revenue': 48.86, 'unit': 'M', 'net_profit': 5.15}, {'period': ""Q4 '19"", 'revenue': 100.13, 'unit': 'M', 'net_profit': 8.07}, {'period': ""Q2 '19"", 'revenue': 73.27, 'unit': 'M', 'net_profit': 4.99}, {'period': ""Q4 '18"", 'revenue': 75.4, 'unit': 'M', 'net_profit': 5.08}, {'period': ""Q2 '18"", 'revenue': 66.04, 'unit': 'M', 'net_profit': 11.01}, {'period': ""Q4 '17"", 'revenue': 54.23, 'unit': 'M', 'net_profit': 4.73}]",1.36,1.36,143957860,114870576,43669538,48442062,64763837,3678171,40805723,43669538,18715270,0.7134165037150415,0.9041651316137166,0.9154929577464791,__nan__,__nan__,__nan__,0.33650168181160794
5,CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,"Cross Country Healthcare, Inc. provides talent management and other consultative services for healthcare clients in the United States. The company operates in two segments, Nurse and Allied Staffing and Physician Staffing. The Nurse and Allied Staffing segment offers traditional staffing, including temporary and permanent placement of travel nurses and allied professionals, local nurses, and allied staffing; staffing solutions for registered nurses, licensed practical nurses, certified nurse assistants, practitioners, pharmacists, and other allied professionals on per diem and short-term assignments; and clinical and non-clinical professionals on long-term contract assignments, as well as workforce solutions, including MSP, RPO, and consulting services. It also provides retained search services for healthcare professionals, as well as contingent search and recruitment process outsourcing services. This segment serves public and private acute care and non-acute care hospitals, government facilities, local and national healthcare plans, managed care providers, public and charter schools, outpatient clinics, ambulatory care facilities, physician practice groups, and other healthcare providers under the Cross Country brand. The Physician Staffing segment provides physicians in various specialties, certified registered nurse anesthetists, nurse practitioners, and physician assistants under the Cross Country Locums brand as independent contractors on temporary assignments at various healthcare facilities, such as acute and non-acute care facilities, medical group practices, government facilities, and managed care organizations. The company was founded in 1986 and is headquartered in Boca Raton, Florida.",Kevin Cronin Clark,Medical - Care Facilities,9.52,USD,311874743,https://images.financialmodelingprep.com/symbol/CCRN.png,603403,2001-10-25,-3.25,-0.21,257871,13332000,-94852000,"[{'period': '2025', 'revenue': 1050.0, 'unit': 'M', 'net_profit': -94.85}, {'period': '2024', 'revenue': 1340.0, 'unit': 'M', 'net_profit': -14.56}, {'period': '2023', 'revenue': 2020.0, 'unit': 'M', 'net_profit': 72.63}, {'period': '2022', 'revenue': 2800.0, 'unit': 'M', 'net_profit': 185.98}]","[{'period': ""Q4 '25"", 'revenue': 236.76, 'unit': 'M', 'net_profit': -82.93}, {'period': ""Q3 '25"", 'revenue': 250.05, 'unit': 'M', 'net_profit': -4.77}, {'period': ""Q2 '25"", 'revenue': 274.07, 'unit': 'M', 'net_profit': -6.66}, {'period': ""Q1 '25"", 'revenue': 293410.0, 'unit': 'K', 'net_profit': -490.0}, {'period': ""Q4 '24"", 'revenue': 309.94, 'unit': 'M', 'net_profit': -3.75}, {'period': ""Q3 '24"", 'revenue': 315.12, 'unit': 'M', 'net_profit': 2.56}]",-2.93,-2.93,448951000,293589000,108738000,126129000,167512000,14859000,77756000,108738000,40090000,-0.20524585426204794,-5.516350645781809,-5.659090909090909,__nan__,__nan__,__nan__,0.2809415726883335
6,CCXI,ChemoCentryx Inc. Common Stock,"Churchill Capital Corp. XI is a blank check company. It was formed for the purpose of effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. The company was founded by Michael Stuart Klein on June 4, 2025 and is headquartered in New York, NY.",Michael Stuart Klein,Financial - Conglomerates,10.14,USD,424866000,https://images.financialmodelingprep.com/symbol/CCXI.png,9965,2026-02-09,,-0.03,265724,-167685,382098,"[{'period': '2025', 'revenue': 0.0, 'unit': 'K', 'net_profit': 382.1}]","[{'period': ""Q4 '25"", 'revenue': 0.0, 'unit': 'K', 'net_profit': 433.03}, {'period': ""Q3 '25"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -28.88}, {'period': ""Q2 '25"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -22.05}]",0.0069,0.0069,415909532,1062754,736204,16120667,0,414549783,130667,736204,-632840,0.0,0.0,0.0,__nan__,__nan__,__nan__,0.038760032554387334
7,CD,Chindata Group Holdings Limited American Depositary Shares,"Chaince Digital Holdings Inc., a digital fintech company, provides access to the AI-powered infrastructure, blockchain, and digital assets in the United States. The company offers blockchain and digital asset solutions; and AI and HPC infrastructure, as well as liquid cooling solutions for AI data centers. It also provides broker-dealer, and investment advisory services. The company was formerly known as Mercurity Fintech Holding Inc. and changed its name to Chaince Digital Holdings Inc. in November 2025. Chaince Digital Holdings Inc. was incorporated in 2011 and is headquartered in New York, New York.",Shi Qiu,Information Technology Services,4.13,USD,292712924,https://images.financialmodelingprep.com/symbol/CD.png,153506,2015-04-08,-137.67,0.2,75510,-3772169,-5097831,"[{'period': '2025', 'revenue': 1.87, 'unit': 'M', 'net_profit': -5.1}, {'period': '2024', 'revenue': 1.01, 'unit': 'M', 'net_profit': -4.53}, {'period': '2023', 'revenue': 0.44593, 'unit': 'M', 'net_profit': -9.36}, {'period': '2022', 'revenue': 0.8634400000000001, 'unit': 'M', 'net_profit': -5.63}]","[{'period': ""Q2 '25"", 'revenue': 0.46658, 'unit': 'M', 'net_profit': -2.99}, {'period': ""Q4 '24"", 'revenue': 490.25, 'unit': 'K', 'net_profit': -699.93}, {'period': ""Q2 '24"", 'revenue': 0.51718, 'unit': 'M', 'net_profit': -3.83}, {'period': ""Q4 '23"", 'revenue': 0.19969, 'unit': 'M', 'net_profit': -6.78}, {'period': ""Q2 '23"", 'revenue': 0.24624000000000001, 'unit': 'M', 'net_profit': -2.58}, {'period': ""Q4 '22"", 'revenue': 80.35, 'unit': 'K', 'net_profit': -988.77}]",0.0,0.0,46595073,45179456,36063636,2562879,338132,122600,1757076,33820069,-1877547,-0.7845962933911393,-0.12425775687483914,1.0,__nan__,__nan__,__nan__,0.055003218902565085
8,CDAK,Codiak BioSciences Inc. Common Stock,"Codiak BioSciences, Inc., a clinical-stage biopharmaceutical company, focuses on developing exosome-based therapeutics for the treatment of oncology, neuro-oncology, neurology, neuromuscular diseases, infectious diseases, and other diseases. Its lead product candidates are exoSTING and exoIL-12 exosome therapeutic candidates for the treatment of various solid tumors. The company is also developing exoASO-STAT6, an antisense oligonucleotide targeting the STAT6 transcription factor; and exoVACC, a modular platform for constructing precision vaccines. It has a collaboration agreement with the Jazz Pharmaceuticals Ireland Limited, Sarepta Therapeutics, Inc., Kayla Therapeutics S.A.S., Washington University, Ragon Institute of MGH, MIT, and Harvard. The company was incorporated in 2015 and is headquartered in Cambridge, Massachusetts.",Douglas Edward Williams,Biotechnology,0.057,USD,0,https://images.financialmodelingprep.com/symbol/CDAK.png,1599191,2020-10-14,-0.12391304347826088,0.0,12929980,-28040000,-41633000,"[{'period': '2021', 'revenue': 22.93, 'unit': 'M', 'net_profit': -41.63}, {'period': '2020', 'revenue': 2.92, 'unit': 'M', 'net_profit': -88.93}, {'period': '2019', 'revenue': 0.388, 'unit': 'M', 'net_profit': -79.25}, {'period': '2018', 'revenue': 0.0, 'unit': 'M', 'net_profit': -44.54}]","[{'period': ""Q3 '22"", 'revenue': 0.028, 'unit': 'M', 'net_profit': -17.16}, {'period': ""Q2 '22"", 'revenue': 13.14, 'unit': 'M', 'net_profit': -6.53}, {'period': ""Q1 '22"", 'revenue': 12.7, 'unit': 'M', 'net_profit': -7.8}, {'period': ""Q4 '21"", 'revenue': 7.7, 'unit': 'M', 'net_profit': 2.26}, {'period': ""Q3 '21"", 'revenue': 1.16, 'unit': 'M', 'net_profit': -21.7}, {'period': ""Q2 '21"", 'revenue': 0.89, 'unit': 'M', 'net_profit': -21.81}]",-1.91,-1.91,171670000,90171000,76938000,118165000,0,0,27165000,76938000,-77389000,0.6835214446952596,0.5318505358086606,0.6262230919765166,__nan__,__nan__,__nan__,0.6883264402632958
9,CDEV,Centennial Resource Development Inc. Class A Common Stock,"Centennial Resource Development, Inc., an independent oil and natural gas company, focuses on the development of crude oil and related liquids-rich natural gas reserves in the United States. Its assets primarily focus on the Delaware Basin, a sub-basin of the Permian Basin. The company's properties consist of acreage blocks primarily in Reeves County, West Texas and Lea County, New Mexico. As of December 31, 2021, it leased or acquired approximately 73,675 net acres; and owned 991 net mineral acres in the Delaware Basin. The company was formerly known as Silver Run Acquisition Corporation and changed its name to Centennial Resource Development, Inc. in October 2016. The company was incorporated in 2015 and is headquartered in Denver, Colorado.",Mark Papa,Oil & Gas Exploration & Production,7.62,USD,4181414109,https://images.financialmodelingprep.com/symbol/CDEV.png,0,2016-03-02,5.521739130434782,-0.60999966,17581515,3698684000,935174000,"[{'period': '2025', 'revenue': 0.0, 'unit': 'M', 'net_profit': 935.17}, {'period': '2024', 'revenue': 0.0, 'unit': 'M', 'net_profit': 984.7}, {'period': '2021', 'revenue': 1030.0, 'unit': 'M', 'net_profit': 138.18}, {'period': '2020', 'revenue': 580.46, 'unit': 'M', 'net_profit': -682.84}]","[{'period': ""Q4 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 142.49}, {'period': ""Q3 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 256.25}, {'period': ""Q2 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 207.14}, {'period': ""Q1 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 329.3}, {'period': ""Q4 '24"", 'revenue': -1140.0, 'unit': 'M', 'net_profit': 882.13}, {'period': ""Q3 '24"", 'revenue': 1220.0, 'unit': 'M', 'net_profit': 386.38}]",1.31,1.28,17912185000,1312143000,153690000,6378302000,840653000,0,1677832000,153690000,3607541000,0.7153110269742834,-0.05029648593837114,-0.6213872832369942,__nan__,__nan__,__nan__,0.3560873226800639
