,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,ipoDate__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,JHS,John Hancock Income Securities Trust Common Stock,,,,,,,,,,11.37,0.05500031,4227,,,[],"[{'period': ""Q4 '25"", 'revenue': 4.61, 'unit': 'M', 'net_profit': 8.07}, {'period': ""Q2 '25"", 'revenue': 5.88, 'unit': 'M', 'net_profit': 3.02}, {'period': ""Q4 '24"", 'revenue': 6.45, 'unit': 'M', 'net_profit': 7.58}, {'period': ""Q2 '24"", 'revenue': 4.01, 'unit': 'M', 'net_profit': 11.33}, {'period': ""Q4 '23"", 'revenue': 5.56, 'unit': 'M', 'net_profit': -10.97}, {'period': ""Q2 '23"", 'revenue': 5.4, 'unit': 'M', 'net_profit': 11.25}]",,,,,,,,,,,,,,,,,__nan__,__nan__
1,JHX,James Hardie Industries plc American Depositary Shares (Ireland),,,,,,,,,,74.6,-0.115,2141811,,,[],"[{'period': ""Q3 '26"", 'revenue': 1240.0, 'unit': 'M', 'net_profit': 68.7}, {'period': ""Q2 '26"", 'revenue': 1290.0, 'unit': 'M', 'net_profit': -55.8}, {'period': ""Q1 '26"", 'revenue': 899.9, 'unit': 'M', 'net_profit': 62.6}, {'period': ""Q4 '25"", 'revenue': 971.5, 'unit': 'M', 'net_profit': 43.6}, {'period': ""Q3 '25"", 'revenue': 953.3, 'unit': 'M', 'net_profit': 141.7}, {'period': ""Q2 '25"", 'revenue': 960.8, 'unit': 'M', 'net_profit': 83.4}]",,,,,,,,,,,,,,,,,__nan__,__nan__
2,JIH,Juniper Industrial Holdings Inc. Class A Common Stock,,,,,,,,,,,,,,,[],"[{'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -30.12}, {'period': ""Q2 '20"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -207.0}, {'period': ""Q1 '20"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 1.19}]",,,,,,,,,,,,,,,,,__nan__,__nan__
3,JILL,J. Jill Inc. Common Stock,,,,,,,,,,6.83,0.13,3452,,,[],"[{'period': ""Q3 '25"", 'revenue': 150.53, 'unit': 'M', 'net_profit': 9.21}, {'period': ""Q2 '25"", 'revenue': 153.99, 'unit': 'M', 'net_profit': 10.52}, {'period': ""Q1 '25"", 'revenue': 153.62, 'unit': 'M', 'net_profit': 11.69}, {'period': ""Q4 '24"", 'revenue': 142.84, 'unit': 'M', 'net_profit': 2.25}, {'period': ""Q3 '24"", 'revenue': 151.26, 'unit': 'M', 'net_profit': 12.35}, {'period': ""Q2 '24"", 'revenue': 155.24, 'unit': 'M', 'net_profit': 8.19}]",,,,,,,,,,,,,,,,,__nan__,__nan__
4,JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),,,,,,,,,,-2.58,-0.74,56300,,,[],"[{'period': ""Q3 '25"", 'revenue': 16160.0, 'unit': 'M', 'net_profit': -749.79}, {'period': ""Q2 '25"", 'revenue': 17820.0, 'unit': 'M', 'net_profit': -868.01}, {'period': ""Q1 '25"", 'revenue': 13.84, 'unit': 'B', 'net_profit': -1.32}, {'period': ""Q4 '24"", 'revenue': 20650.0, 'unit': 'M', 'net_profit': -476.74}, {'period': ""Q3 '24"", 'revenue': 24510.0, 'unit': 'M', 'net_profit': 22.53}, {'period': ""Q2 '24"", 'revenue': 24050.0, 'unit': 'M', 'net_profit': -100.65}]",,,,,,,,,,,,,,,,,__nan__,__nan__
5,JLL,Jones Lang LaSalle Incorporated Common Stock,,,,,,,,,,18.23,6.04,52422,,,[],"[{'period': ""Q4 '25"", 'revenue': 7610.0, 'unit': 'M', 'net_profit': 401.7}, {'period': ""Q3 '25"", 'revenue': 6510.0, 'unit': 'M', 'net_profit': 222.8}, {'period': ""Q2 '25"", 'revenue': 6250.0, 'unit': 'M', 'net_profit': 112.3}, {'period': ""Q1 '25"", 'revenue': 5750.0, 'unit': 'M', 'net_profit': 55.3}, {'period': ""Q4 '24"", 'revenue': 6810.0, 'unit': 'M', 'net_profit': 241.2}, {'period': ""Q3 '24"", 'revenue': 5870.0, 'unit': 'M', 'net_profit': 155.1}]",,,,,,,,,,,,,,,,,__nan__,__nan__
6,JLS,Nuveen Mortgage and Income Fund,,,,,,,,,,10.13,0.065,9354,,,[],"[{'period': ""Q4 '25"", 'revenue': 5.57, 'unit': 'M', 'net_profit': 3.79}, {'period': ""Q2 '25"", 'revenue': 4.76, 'unit': 'M', 'net_profit': 5.72}, {'period': ""Q4 '24"", 'revenue': 7.21, 'unit': 'M', 'net_profit': 4.86}, {'period': ""Q2 '24"", 'revenue': 6.33, 'unit': 'M', 'net_profit': 8.57}, {'period': ""Q4 '23"", 'revenue': 6.97, 'unit': 'M', 'net_profit': 3.77}, {'period': ""Q2 '23"", 'revenue': 5.43, 'unit': 'M', 'net_profit': 4.42}]",,,,,,,,,,,,,,,,,__nan__,__nan__
7,JMIA,Jumia Technologies AG American Depositary Shares each representing two Ordinary Shares,,,,,,,,,,-12.94,-0.2,713456,,,[],"[{'period': ""Q4 '25"", 'revenue': 61.35, 'unit': 'M', 'net_profit': -10.29}, {'period': ""Q3 '25"", 'revenue': 45.63, 'unit': 'M', 'net_profit': -17.94}, {'period': ""Q2 '25"", 'revenue': 45.64, 'unit': 'M', 'net_profit': -16.59}, {'period': ""Q1 '25"", 'revenue': 36.26, 'unit': 'M', 'net_profit': -16.71}, {'period': ""Q4 '24"", 'revenue': 45.69, 'unit': 'M', 'net_profit': -19.53}, {'period': ""Q3 '24"", 'revenue': 36.43, 'unit': 'M', 'net_profit': -16.9}]",,,,,,,,,,,,,,,,,__nan__,__nan__
8,JMM,Nuveen Multi-Market Income Fund (MA),,,,,,,,,,11.44,-0.03,428,,,[],"[{'period': ""Q2 '25"", 'revenue': 2.49, 'unit': 'M', 'net_profit': 1.96}, {'period': ""Q4 '24"", 'revenue': 1.85, 'unit': 'M', 'net_profit': 2.82}, {'period': ""Q3 '24"", 'revenue': 1.19, 'unit': 'M', 'net_profit': 1.41}, {'period': ""Q2 '24"", 'revenue': 2.61, 'unit': 'M', 'net_profit': 1.72}, {'period': ""Q1 '24"", 'revenue': 1170.0, 'unit': 'K', 'net_profit': 859.28}, {'period': ""Q4 '23"", 'revenue': 2.03, 'unit': 'M', 'net_profit': 1.17}]",,,,,,,,,,,,,,,,,__nan__,__nan__
9,JMP,JMP Group LLC Common Shares,,,,,,,,,,0.0,0.02,41783,,,[],"[{'period': ""Q3 '21"", 'revenue': 73.11, 'unit': 'M', 'net_profit': 21.82}, {'period': ""Q2 '21"", 'revenue': 46.77, 'unit': 'M', 'net_profit': 3.63}, {'period': ""Q1 '21"", 'revenue': 36.7, 'unit': 'M', 'net_profit': 1.09}, {'period': ""Q4 '20"", 'revenue': 51.94, 'unit': 'M', 'net_profit': 9.01}, {'period': ""Q3 '20"", 'revenue': 25.01, 'unit': 'M', 'net_profit': -3.08}, {'period': ""Q2 '20"", 'revenue': 29.35, 'unit': 'M', 'net_profit': 1.12}]",,,,,,,,,,,,,,,,,__nan__,__nan__
